violation,region,date_range,age_group,gender,cleared_by_charge,diversionary_program,other_cleared_otherwise,total,year,violation_type,youth_adult,population,year_diff
Failure to provide blood sample (drugs),Canada,"January 1st, 2020 to December 31st, 2020",35 to 89,Male,0,0,0,0,2020,Other,Adult,31615827,1
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Possession,Youth,2528132,2
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,0,0,2021,Possession,Youth,2528132,2
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Possession,Adult,31615827,2
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,0,0,0,0,2021,Possession,Adult,31615827,2
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,0,0,0,0,2021,Possession,Adult,31615827,2
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,0,0,0,0,2021,Possession,Adult,31615827,2
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,0,0,0,0,2021,Possession,Adult,31615827,2
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,0,0,0,0,2021,Possession,Adult,31615827,2
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Trafficking,Youth,2528132,2
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,0,0,2021,Trafficking,Youth,2528132,2
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,0,0,0,0,2021,Trafficking,Adult,31615827,2
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,0,0,0,0,2021,Trafficking,Adult,31615827,2
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,0,0,0,0,2021,Trafficking,Adult,31615827,2
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Importation-exportation,Youth,2528132,2
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,0,0,2021,Importation-exportation,Youth,2528132,2
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Importation-exportation,Adult,31615827,2
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,0,0,0,0,2021,Importation-exportation,Adult,31615827,2
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,0,0,0,0,2021,Importation-exportation,Adult,31615827,2
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,0,0,0,0,2021,Importation-exportation,Adult,31615827,2
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,0,0,0,0,2021,Importation-exportation,Adult,31615827,2
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,0,0,0,0,2021,Importation-exportation,Adult,31615827,2
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Production and cultivation,Youth,2528132,2
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,0,0,2021,Production and cultivation,Youth,2528132,2
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Production and cultivation,Adult,31615827,2
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,0,0,0,0,2021,Production and cultivation,Adult,31615827,2
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,0,0,0,0,2021,Production and cultivation,Adult,31615827,2
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,0,0,0,0,2021,Production and cultivation,Adult,31615827,2
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,0,0,0,0,2021,Production and cultivation,Adult,31615827,2
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,0,0,0,0,2021,Production and cultivation,Adult,31615827,2
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Trafficking,Youth,2528132,2
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,0,0,2021,Trafficking,Youth,2528132,2
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,1,0,0,1,2021,Trafficking,Adult,31615827,2
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,2,0,2,4,2021,Trafficking,Adult,31615827,2
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,11,0,1,12,2021,Trafficking,Adult,31615827,2
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,14,0,0,14,2021,Trafficking,Adult,31615827,2
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,4,0,0,4,2021,Trafficking,Adult,31615827,2
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,13,0,3,16,2021,Trafficking,Adult,31615827,2
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,8,0,0,8,2021,Possession,Youth,2528132,2
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,11,1,1,13,2021,Possession,Youth,2528132,2
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,45,0,3,48,2021,Possession,Adult,31615827,2
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,269,8,29,306,2021,Possession,Adult,31615827,2
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,48,0,6,54,2021,Possession,Adult,31615827,2
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,280,2,24,306,2021,Possession,Adult,31615827,2
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,57,1,1,59,2021,Possession,Adult,31615827,2
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,336,1,33,370,2021,Possession,Adult,31615827,2
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,33,11,47,91,2021,Possession,Youth,2528132,2
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,162,53,112,327,2021,Possession,Youth,2528132,2
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,1,1,2021,Possession,Youth,2528132,2
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,5,0,4,9,2021,Possession,Youth,2528132,2
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,0,0,0,0,2021,Possession,Youth,2528132,2
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,0,0,0,0,2021,Possession,Youth,2528132,2
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,0,0,0,0,2021,Possession,Youth,2528132,2
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,0,0,0,0,2021,Possession,Youth,2528132,2
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Production and cultivation,Youth,2528132,2
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,0,0,2021,Production and cultivation,Youth,2528132,2
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Production and cultivation,Adult,31615827,2
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,6,0,3,9,2021,Production and cultivation,Adult,31615827,2
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,10,0,1,11,2021,Production and cultivation,Adult,31615827,2
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,9,2,5,16,2021,Production and cultivation,Adult,31615827,2
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,6,1,0,7,2021,Production and cultivation,Adult,31615827,2
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,46,1,13,60,2021,Production and cultivation,Adult,31615827,2
Possession of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Trafficking,Youth,2528132,2
Possession of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,0,0,2021,Trafficking,Youth,2528132,2
Possession of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
Possession of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,0,0,0,0,2021,Trafficking,Adult,31615827,2
Possession of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
Possession of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,0,0,1,1,2021,Trafficking,Adult,31615827,2
Possession of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
Possession of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,1,0,0,1,2021,Trafficking,Adult,31615827,2
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Trafficking,Youth,2528132,2
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,6,0,0,6,2021,Trafficking,Youth,2528132,2
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,21,0,0,21,2021,Trafficking,Adult,31615827,2
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,12,0,0,12,2021,Trafficking,Adult,31615827,2
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,50,0,1,51,2021,Trafficking,Adult,31615827,2
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,10,0,1,11,2021,Trafficking,Adult,31615827,2
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,52,0,2,54,2021,Trafficking,Adult,31615827,2
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,8,0,0,8,2021,Trafficking,Youth,2528132,2
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,3,0,0,3,2021,Trafficking,Youth,2528132,2
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,7,0,2,9,2021,Trafficking,Adult,31615827,2
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,2,0,1,3,2021,Trafficking,Adult,31615827,2
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,3,0,3,6,2021,Trafficking,Adult,31615827,2
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,5,0,1,6,2021,Trafficking,Adult,31615827,2
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,5,0,2,7,2021,Trafficking,Adult,31615827,2
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Trafficking,Youth,2528132,2
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,11,3,1,15,2021,Trafficking,Youth,2528132,2
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,1,0,0,1,2021,Trafficking,Adult,31615827,2
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,1,0,0,1,2021,Trafficking,Adult,31615827,2
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,1,0,0,1,2021,Trafficking,Adult,31615827,2
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Production and cultivation,Youth,2528132,2
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,0,0,2021,Production and cultivation,Youth,2528132,2
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Production and cultivation,Adult,31615827,2
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,0,0,0,0,2021,Production and cultivation,Adult,31615827,2
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,0,0,0,0,2021,Production and cultivation,Adult,31615827,2
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,1,0,0,1,2021,Production and cultivation,Adult,31615827,2
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,0,0,1,1,2021,Production and cultivation,Adult,31615827,2
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,1,0,1,2,2021,Production and cultivation,Adult,31615827,2
Distribution of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Trafficking,Youth,2528132,2
Distribution of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,0,0,2021,Trafficking,Youth,2528132,2
Distribution of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,1,0,0,1,2021,Trafficking,Adult,31615827,2
Distribution of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,1,0,0,1,2021,Trafficking,Adult,31615827,2
Distribution of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
Distribution of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,1,0,0,1,2021,Trafficking,Adult,31615827,2
Distribution of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,3,0,0,3,2021,Trafficking,Adult,31615827,2
Distribution of cannabis by organization,Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,2,0,0,2,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,5,1,0,6,2021,Trafficking,Youth,2528132,2
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,26,3,5,34,2021,Trafficking,Youth,2528132,2
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,47,0,1,48,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,188,1,7,196,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,62,0,2,64,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,284,0,6,290,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,90,0,4,94,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,347,0,15,362,2021,Trafficking,Adult,31615827,2
Sale of cannabis to adult,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,2,0,0,2,2021,Trafficking,Youth,2528132,2
Sale of cannabis to adult,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,5,0,0,5,2021,Trafficking,Youth,2528132,2
Sale of cannabis to adult,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,13,0,0,13,2021,Trafficking,Adult,31615827,2
Sale of cannabis to adult,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,59,1,0,60,2021,Trafficking,Adult,31615827,2
Sale of cannabis to adult,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,22,0,0,22,2021,Trafficking,Adult,31615827,2
Sale of cannabis to adult,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,74,0,0,74,2021,Trafficking,Adult,31615827,2
Sale of cannabis to adult,Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,21,0,1,22,2021,Trafficking,Adult,31615827,2
Sale of cannabis to adult,Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,95,0,4,99,2021,Trafficking,Adult,31615827,2
Sale of cannabis to youth,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,3,0,1,4,2021,Trafficking,Youth,2528132,2
Sale of cannabis to youth,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,7,0,2,9,2021,Trafficking,Youth,2528132,2
Sale of cannabis to youth,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,1,0,0,1,2021,Trafficking,Adult,31615827,2
Sale of cannabis to youth,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,5,0,0,5,2021,Trafficking,Adult,31615827,2
Sale of cannabis to youth,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,2,0,0,2,2021,Trafficking,Adult,31615827,2
Sale of cannabis to youth,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,1,0,1,2,2021,Trafficking,Adult,31615827,2
Sale of cannabis to youth,Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
Sale of cannabis to youth,Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,2,0,1,3,2021,Trafficking,Adult,31615827,2
Sale of cannabis to an organization,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Trafficking,Youth,2528132,2
Sale of cannabis to an organization,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,0,0,2021,Trafficking,Youth,2528132,2
Sale of cannabis to an organization,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
Sale of cannabis to an organization,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,0,0,0,0,2021,Trafficking,Adult,31615827,2
Sale of cannabis to an organization,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
Sale of cannabis to an organization,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,0,0,0,0,2021,Trafficking,Adult,31615827,2
Sale of cannabis to an organization,Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,0,0,0,0,2021,Trafficking,Adult,31615827,2
Sale of cannabis to an organization,Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,3,0,0,3,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of selling,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,9,0,1,10,2021,Trafficking,Youth,2528132,2
Possession of cannabis for purpose of selling,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,37,2,5,44,2021,Trafficking,Youth,2528132,2
Possession of cannabis for purpose of selling,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,43,0,1,44,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of selling,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,227,0,18,245,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of selling,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,67,0,3,70,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of selling,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,289,0,14,303,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of selling,Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,61,0,2,63,2021,Trafficking,Adult,31615827,2
Possession of cannabis for purpose of selling,Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,321,0,18,339,2021,Trafficking,Adult,31615827,2
Importation and exportation of cannabis,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Importation-exportation,Youth,2528132,2
Importation and exportation of cannabis,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,1,0,1,2,2021,Importation-exportation,Youth,2528132,2
Importation and exportation of cannabis,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,3,3,2021,Importation-exportation,Adult,31615827,2
Importation and exportation of cannabis,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,0,0,11,11,2021,Importation-exportation,Adult,31615827,2
Importation and exportation of cannabis,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,4,0,7,11,2021,Importation-exportation,Adult,31615827,2
Importation and exportation of cannabis,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,11,0,18,29,2021,Importation-exportation,Adult,31615827,2
Importation and exportation of cannabis,Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,6,0,9,15,2021,Importation-exportation,Adult,31615827,2
Importation and exportation of cannabis,Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,14,0,26,40,2021,Importation-exportation,Adult,31615827,2
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,1,0,0,1,2021,Importation-exportation,Youth,2528132,2
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,0,0,2021,Importation-exportation,Youth,2528132,2
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,0,0,0,0,2021,Importation-exportation,Adult,31615827,2
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,0,0,0,0,2021,Importation-exportation,Adult,31615827,2
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Female,1,0,0,1,2021,Importation-exportation,Adult,31615827,2
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2021 to December 31st, 2021",25 to 34,Male,4,0,0,4,2021,Importation-exportation,Adult,31615827,2
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2021 to December 31st, 2021",35 to 110,Female,2,0,0,2,2021,Importation-exportation,Adult,31615827,2
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2021 to December 31st, 2021",35 to 89,Male,10,0,0,10,2021,Importation-exportation,Adult,31615827,2
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Female,0,0,0,0,2021,Production and cultivation,Youth,2528132,2
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2021 to December 31st, 2021",12 to 17,Male,0,0,1,1,2021,Production and cultivation,Youth,2528132,2
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Female,1,0,0,1,2021,Production and cultivation,Adult,31615827,2
"Obtain, offer to obtain, alter or offer to alter cannabis",Canada,"January 1st, 2021 to December 31st, 2021",18 to 24,Male,8,0,3,11,2021,Production and cultivation,Adult,31615827,2
